[2026-06-03T16:44:24.891Z] GET https://www.launchgallery.video/ → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/static/media/797e433ab948586e-s.p.09zddjkbdep5a.woff2 → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/static/media/caa3a2e1cccd8315-s.p.09~u27dqhyhd6.woff2 → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/image/?url=%2Flanding-page-dark.png&w=1920&q=60 → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/static/chunks/0eg7_tczh2u.q.css → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/static/chunks/11unif--rw5h8.css → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/static/chunks/0n-rls06x9r5n.js → pending (?ms, ?B)
[2026-06-03T16:44:26.301Z] GET https://www.launchgallery.video/_next/static/chunks/0pqt~8bl3ukh4.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/06rj-ekn7bfv5.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/0g84uf0axkg94.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/0.5o1mod0icpj.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/turbopack-0dpu81o6cf5k5.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/16z58n_l6ia75.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/0d3shmwh5_nmn.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/116_q1h5z~kkw.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/0ubl_bergrg5a.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/05h2.xzzm0k0r.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/13q4q.p09.epf.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/0upoay.jrsl6y.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/0ot0fae~_r-69.js → pending (?ms, ?B)
[2026-06-03T16:44:26.302Z] GET https://www.launchgallery.video/_next/static/chunks/14hza6s.xpzmu.js → pending (?ms, ?B)
[2026-06-03T16:44:26.469Z] GET https://www.launchgallery.video/_next/image/?url=%2Fnew_logo_small.png&w=32&q=75 → 200 (227ms, 920B)
[2026-06-03T16:44:26.469Z] GET https://www.launchgallery.video/_next/image/?url=%2Ftwitter_bird_icon.png&w=16&q=75 → 200 (227ms, 676B)
[2026-06-03T16:44:26.667Z] GET https://us-assets.i.posthog.com/static/exception-autocapture.js?v=1.345.2 → 200 (188ms, 11840B)
[2026-06-03T16:44:26.667Z] GET https://us-assets.i.posthog.com/array/phc_r652UBXQjuO8KEHrsbg6iOLsW1KUiaMWjzoqMOLxmPr/config.js → 200 (56ms, 849B)
[2026-06-03T16:44:26.667Z] POST https://us.i.posthog.com/flags/?v=2&config=true&ip=0&_=1780505066567&ver=1.345.2&compression=base64 → 200 (187ms, 279B)
[2026-06-03T16:44:26.807Z] GET https://subscribe-forms.beehiiv.com/v3/loader.js → 200 (167ms, 29713B)
[2026-06-03T16:44:26.852Z] GET https://www.launchgallery.video/?_rsc=tXyZJ52UQVBCVsD3 → 200 (87ms, ?B)
[2026-06-03T16:44:29.808Z] GET https://subscribe-forms.beehiiv.com/api/v3/forms/29f956e0-7465-4d3e-a241-5d0037ec11f0 → 200 (115ms, 596B)
[2026-06-03T16:44:29.834Z] GET https://www.launchgallery.video/_next/image/?url=%2Fyc_icon.jpeg&w=16&q=75 → 200 (161ms, 329B)
[2026-06-03T16:44:29.834Z] GET https://www.launchgallery.video/_next/image/?url=%2Ftwitter_icon.jpeg&w=16&q=75 → 200 (145ms, 349B)
[2026-06-03T16:44:29.841Z] GET https://subscribe-forms.beehiiv.com/api/v3/forms/19cc77f2-a758-4114-958a-c7f0204f3f1b → 200 (120ms, 574B)
[2026-06-03T16:44:29.857Z] GET https://www.launchgallery.video/video/base-introducing-base-mcp-your-agent-s-new-gateway-to-base/?_rsc=5CB68i4pnAekjehf → 200 (65ms, 828B)
